,current_5576,current_2409,current_2410,current_28987,current_17529,current_20245,current_18538,current_25513,current_27775
2017-12-13 12:00:00,360.25,359.5,359.0,50.25,311.25,20.25,269.0,162.5,81.75
2017-12-13 16:00:00,452.5,449.0,450.0,66.0,384.5,36.0,349.25,212.0,108.0
2017-12-13 20:00:00,411.0,414.0,414.0,67.25,349.25,37.25,317.0,186.25,99.25
2017-12-14 00:00:00,274.75,273.75,274.0,45.0,229.5,15.0,203.0,117.0,68.25
2017-12-14 04:00:00,264.0,268.75,268.25,52.5,218.5,22.5,194.25,104.25,58.75
2017-12-14 08:00:00,356.25,353.0,353.0,57.25,303.25,27.25,258.75,156.0,78.75
2017-12-14 12:00:00,381.5,376.0,376.0,50.5,326.5,20.5,283.75,177.0,86.75
2017-12-14 16:00:00,449.25,442.5,443.25,66.25,378.25,36.25,343.25,207.5,105.0
2017-12-14 20:00:00,410.5,415.0,414.5,68.5,347.0,38.5,314.5,186.25,100.0
2017-12-15 00:00:00,270.25,271.0,271.5,47.0,226.25,17.0,200.25,114.0,65.75
2017-12-15 04:00:00,260.75,265.25,265.25,51.25,214.0,21.25,190.25,101.0,57.5
2017-12-15 08:00:00,351.5,358.25,358.25,54.75,304.0,24.75,261.5,156.5,80.5
2017-12-15 12:00:00,368.5,362.5,363.75,48.0,316.5,18.0,273.5,170.25,85.0
2017-12-15 16:00:00,442.75,433.5,434.0,63.75,373.0,33.75,337.5,201.0,101.0
2017-12-15 20:00:00,400.25,397.25,397.0,64.25,332.5,34.25,302.0,176.0,91.25
2017-12-16 00:00:00,276.0,275.0,274.5,47.0,227.75,17.0,202.0,115.0,66.0
2017-12-16 04:00:00,270.25,247.0,246.5,44.75,203.0,14.75,183.75,100.25,56.5
2017-12-16 08:00:00,345.5,347.25,346.5,58.75,290.25,28.75,265.75,146.25,75.25
2017-12-16 12:00:00,352.75,351.75,351.75,52.5,301.25,22.5,272.5,163.0,81.0
2017-12-16 16:00:00,409.25,410.25,410.75,66.0,345.0,36.0,314.75,187.0,94.25
2017-12-16 20:00:00,392.25,389.25,389.5,67.75,325.75,37.75,294.0,171.5,89.25
2017-12-17 00:00:00,279.5,280.75,281.25,47.5,234.75,17.5,207.25,119.75,69.75
2017-12-17 04:00:00,244.25,246.5,247.0,46.0,202.75,16.0,181.0,102.0,56.5
2017-12-17 08:00:00,308.75,310.75,310.5,64.5,249.5,34.5,225.75,121.5,59.0
2017-12-17 12:00:00,321.0,320.25,321.25,56.75,268.25,26.75,241.0,136.75,68.0
2017-12-17 16:00:00,405.0,406.75,407.0,75.25,333.0,45.25,303.75,170.5,90.0
2017-12-17 20:00:00,382.5,385.5,386.0,69.75,316.75,39.75,288.0,157.25,85.0
2017-12-18 00:00:00,257.0,261.75,262.0,44.5,218.0,14.5,191.0,106.25,62.5
2017-12-18 04:00:00,261.25,258.25,259.0,50.5,211.0,20.5,189.0,101.0,56.0
2017-12-18 08:00:00,482.0,479.0,478.75,56.5,426.5,26.5,257.5,152.75,77.0
2017-12-18 12:00:00,435.75,438.25,438.75,50.0,390.25,20.0,269.5,164.25,82.0
2017-12-18 16:00:00,435.5,437.25,437.25,65.0,373.0,35.0,340.75,200.0,102.0
2017-12-18 20:00:00,397.75,402.5,402.5,66.0,338.0,36.0,306.75,175.0,94.0
2017-12-19 00:00:00,263.75,265.0,264.75,44.75,221.0,14.75,197.75,109.25,65.0
2017-12-19 04:00:00,256.75,259.75,260.0,49.25,212.25,19.25,189.0,102.75,59.0
2017-12-19 08:00:00,354.25,359.5,359.25,57.25,307.0,27.25,262.75,157.5,78.0
2017-12-19 12:00:00,363.75,364.75,365.0,50.5,317.0,20.5,271.5,165.25,81.0
2017-12-19 16:00:00,448.0,447.25,447.5,65.5,381.75,35.5,346.5,205.0,104.25
2017-12-19 20:00:00,412.25,409.25,409.0,67.0,342.75,37.0,311.25,179.5,95.0
2017-12-20 00:00:00,277.0,269.25,268.75,44.5,224.5,14.5,198.5,111.25,67.25
2017-12-20 04:00:00,268.5,267.0,267.0,52.25,217.0,22.25,192.75,103.0,62.25
2017-12-20 08:00:00,349.5,350.75,351.0,56.5,295.75,26.5,252.25,149.0,76.0
2017-12-20 12:00:00,362.25,357.0,357.5,51.0,307.0,21.0,265.25,160.25,81.5
2017-12-20 16:00:00,432.0,432.0,432.5,66.75,368.0,36.75,334.25,198.0,99.75
