,index,data
6534,2017111630,1884.6761
6535,2017111635,1844.8002
6536,2017111640,1701.6549
6537,2017111645,1722.0479
6538,2017111650,1793.9884
6539,2017111655,1746.2439
6540,2017111700,1740.7713
6541,2017111705,1631.6170000000002
6542,2017111710,1591.6833
6543,2017111715,1587.7306
6544,2017111720,1689.9932
6545,2017111725,1724.4053
6546,2017111730,1696.19
6547,2017111735,1757.0675
6548,2017111740,1643.7983
6549,2017111745,1546.4992
6550,2017111750,1448.8365
6551,2017111755,1464.6193
6552,2017111800,1375.9818
6553,2017111805,1238.2474
6554,2017111810,1274.3621
6555,2017111815,1243.4007
6556,2017111820,1249.8213
6557,2017111825,1336.7113
6558,2017111830,1318.1142
6559,2017111835,1252.9559
6560,2017111840,1299.7513
6561,2017111845,1233.2601
6562,2017111850,1205.6798
6563,2017111855,1163.8744
6564,2017111900,1188.4432
6565,2017111905,1258.0555
6566,2017111910,1283.837
6567,2017111915,1291.7018
6568,2017111920,1220.4909
6569,2017111925,1213.6234
6570,2017111930,1176.4160000000002
6571,2017111935,1190.493
6572,2017111940,1208.9975
6573,2017111945,1217.4725
6574,2017111950,1185.1221
6575,2017111955,1132.4477
6576,2017112000,1053.8564
6577,2017112005,1025.2823
6578,2017112010,992.0682
6579,2017112015,980.4586
6580,2017112020,993.2534
6581,2017112025,974.4143
6582,2017112030,958.9597
6583,2017112035,957.6227
6584,2017112040,987.2719999999999
6585,2017112045,1022.4219
6586,2017112050,1067.5763
6587,2017112055,1062.3721
6588,2017112100,984.6226
6589,2017112105,1024.7354
6590,2017112110,970.6267
6591,2017112115,948.5413
6592,2017112120,999.2524
6593,2017112125,1006.0584
6594,2017112130,959.4356
6595,2017112135,1020.2698
6596,2017112140,1002.4739
6597,2017112145,962.3107
6598,2017112150,863.7938
6599,2017112155,890.2838
6600,2017112200,854.1983
6601,2017112205,869.6454
6602,2017112210,908.1851
6603,2017112215,877.2388
6604,2017112220,877.8115
6605,2017112225,785.4168
6606,2017112230,840.8186
6607,2017112235,748.5997
6608,2017112240,702.4865
6609,2017112245,654.2779
6610,2017112250,609.6614
6611,2017112255,563.5198
6612,2017112300,569.6277
6613,2017112305,608.4708
6614,2017112310,651.9354
6615,2017112315,627.8107
6616,2017112320,657.4892
6617,2017112325,625.1355
6618,2017112330,618.2386
6619,2017112335,609.2595
6620,2017112340,535.5218
6621,2017112345,464.8111
6622,2017112350,392.9824
6623,2017112355,408.9325
6624,2017120000,593.5098
6625,2017120005,602.8778
6626,2017120010,593.1264
6627,2017120015,558.6234
6628,2017120020,566.0812
6629,2017120025,555.9627
6630,2017120030,514.8407
6631,2017120035,472.4887
6632,2017120040,474.4085
6633,2017120045,470.30800000000005
6634,2017120050,434.3282
6635,2017120055,412.8063
6636,2017120100,445.7193
6637,2017120105,457.3907
6638,2017120110,422.0992
6639,2017120115,395.1154
6640,2017120120,370.8142
6641,2017120125,377.7129
6642,2017120130,371.811
6643,2017120135,338.2446
6644,2017120140,328.1966
6645,2017120145,312.3155
6646,2017120150,321.465
6647,2017120155,297.7302
6648,2017120200,275.0365
6649,2017120205,280.6692
6650,2017120210,285.747
6651,2017120215,282.9377
6652,2017120220,257.8401
6653,2017120225,239.3027
6654,2017120230,226.7818
6655,2017120235,207.3182
6656,2017120240,163.7336
6657,2017120245,174.1621
6658,2017120250,184.3679
6659,2017120255,199.9454
6660,2017120300,179.8949
6661,2017120305,154.0314
6662,2017120310,150.0133
6663,2017120315,141.358
6664,2017120320,154.2001
6665,2017120325,146.4692
6666,2017120330,155.4225
6667,2017120335,167.0131
6668,2017120340,158.1131
6669,2017120345,144.0647
6670,2017120350,130.171
6671,2017120355,113.5011
6672,2017120400,102.7915
6673,2017120405,84.4793
6674,2017120410,85.7423
6675,2017120415,78.714
6676,2017120420,73.7051
6677,2017120425,89.1411
6678,2017120430,117.2139
6679,2017120435,122.6562
6680,2017120440,130.9782
6681,2017120445,148.6083
6682,2017120450,155.4786
6683,2017120455,114.9004
6684,2017120500,103.17200000000001
6685,2017120505,88.2043
6686,2017120510,123.9344
6687,2017120515,155.8561
6688,2017120520,180.7782
6689,2017120525,214.2791
6690,2017120530,201.4352
6691,2017120535,172.7567
6692,2017120540,153.2976
6693,2017120545,130.9398
6694,2017120550,143.7895
6695,2017120555,143.8939
6696,2017120600,164.9654
6697,2017120605,180.7558
6698,2017120610,216.9558
6699,2017120615,250.8941
6700,2017120620,238.8403
6701,2017120625,240.5958
6702,2017120630,251.2134
6703,2017120635,268.768
6704,2017120640,299.6645
6705,2017120645,317.1667
6706,2017120650,351.5191
6707,2017120655,342.033
6708,2017120700,385.2152
6709,2017120705,399.3393
6710,2017120710,376.3073
6711,2017120715,397.3348
6712,2017120720,460.8591
6713,2017120725,495.1547
6714,2017120730,516.8131
6715,2017120735,569.3379
6716,2017120740,534.2122
6717,2017120745,517.0269
6718,2017120750,548.2659
6719,2017120755,604.6787
6720,2017120800,617.4885
6721,2017120805,756.6392
6722,2017120810,776.4705
6723,2017120815,718.4731
6724,2017120820,809.3707
6725,2017120825,881.6785
6726,2017120830,876.3817
6727,2017120835,912.4031
6728,2017120840,999.6684
6729,2017120845,1115.1659
6730,2017120850,1098.0559
6731,2017120855,1231.9619
6732,2017120900,1341.2217
6733,2017120905,1376.7612
6734,2017120910,1314.2116
6735,2017120915,1284.1209
6736,2017120920,1326.4834
6737,2017120925,1375.3417
6738,2017120930,1428.1206
6739,2017120935,1542.524
6740,2017120940,1537.1856
6741,2017120945,1618.1265
6742,2017120950,1576.6133
6743,2017120955,1624.7528
6744,2017121000,1744.8917
6745,2017121005,1715.0522
6746,2017121010,1769.1233
6747,2017121015,1794.6668
6748,2017121020,1699.3707
6749,2017121025,1684.5524
6750,2017121030,1748.4273
6751,2017121035,1851.8212
6752,2017121040,1846.8288
6753,2017121045,1844.6511
6754,2017121050,1899.2042
6755,2017121055,1919.9373
6756,2017121100,1866.1158
6757,2017121105,1909.6065
6758,2017121110,1991.32
6759,2017121115,2043.4928
6760,2017121120,1985.9819
6761,2017121125,2097.7911
6762,2017121130,2166.3279
6763,2017121135,2139.8021
6764,2017121140,2091.6622
6765,2017121145,2093.3004
6766,2017121150,2061.3564
6767,2017121155,2045.8744
6768,2017121200,2141.4988
6769,2017121205,2236.4933
6770,2017121210,2172.9013
6771,2017121215,2143.5459
6772,2017121220,2113.2484
6773,2017121225,2178.7452
6774,2017121230,2171.6595
6775,2017121235,2223.3552
6776,2017121240,2215.1309
6777,2017121245,2165.2715
6778,2017121250,2156.6071
6779,2017121255,2218.5166
6780,2017121300,2224.868
6781,2017121305,2301.5033
6782,2017121310,2257.1789
6783,2017121315,2302.1708
6784,2017121320,2212.006
6785,2017121325,2182.2197
6786,2017121330,2174.8297
6787,2017121335,2316.2162
6788,2017121340,2293.5867
6789,2017121345,2345.6802
6790,2017121350,2235.4148
6791,2017121355,2248.2971
6792,2017121400,2152.3532
6793,2017121405,2156.7592
6794,2017121410,2181.0135
6795,2017121415,2245.905
6796,2017121420,2296.8554
6797,2017121425,2312.0167
6798,2017121430,2242.0378
6799,2017121435,2247.8646
6800,2017121440,2187.5518
6801,2017121445,2107.5255
6802,2017121450,2214.1606
6803,2017121455,2285.5656
6804,2017121500,2189.092
6805,2017121505,2327.8601
6806,2017121510,2305.5148
6807,2017121515,2301.1536
6808,2017121520,2332.5954
6809,2017121525,2343.6609
6810,2017121530,2400.598
6811,2017121535,2341.0881
6812,2017121540,2303.4758
6813,2017121545,2231.3969
6814,2017121550,2234.2928
6815,2017121555,2277.5825
6816,2017121600,2383.0662
6817,2017121605,2366.9804
6818,2017121610,2283.1984
6819,2017121615,2271.6827
6820,2017121620,2330.5994
6821,2017121625,2425.2438
6822,2017121630,2381.4512
6823,2017121635,2333.7873
6824,2017121640,2340.1526
6825,2017121645,2359.4565
6826,2017121650,2436.8748
6827,2017121655,2456.9286
6828,2017121700,2398.1174
6829,2017121705,2508.3291
6830,2017121710,2437.9415
6831,2017121715,2300.8404
6832,2017121720,2270.6405
6833,2017121725,2207.0345
6834,2017121730,2327.3757
6835,2017121735,2276.1939
6836,2017121740,2249.465
6837,2017121745,2204.0954
6838,2017121750,2171.6912
6839,2017121755,2147.3809
6840,2017121800,1997.1251
6841,2017121805,1907.3514
6842,2017121810,1821.9039
6843,2017121815,1757.2715
6844,2017121820,1708.9306
6845,2017121825,1745.601
6846,2017121830,1789.3164
6847,2017121835,1731.5178
6848,2017121840,1706.9067
6849,2017121845,1646.7613
6850,2017121850,1650.3493
6851,2017121855,1638.1097
6852,2017121900,1525.4203
6853,2017121905,1548.8675
6854,2017121910,1600.1502
6855,2017121915,1595.1388
6856,2017121920,1514.7651
6857,2017121925,1454.2007
6858,2017121930,1542.9925
6859,2017121935,1484.9359
6860,2017121940,1489.4789
6861,2017121945,1512.7501
6862,2017121950,1455.7421
6863,2017121955,1378.2875
6864,2017122000,1415.5835
6865,2017122005,1397.1244
6866,2017122010,1409.2048
6867,2017122015,1341.164
6868,2017122020,1312.211
6869,2017122025,1337.7234
6870,2017122030,1322.5048
6871,2017122035,1374.5291
6872,2017122040,1401.1101
6873,2017122045,1421.5778
6874,2017122050,1355.9159
6875,2017122055,1355.7037
6876,2017122100,1311.9138
6877,2017122105,1298.2873
6878,2017122110,1364.5706
6879,2017122115,1276.6247
6880,2017122120,1192.8912
6881,2017122125,1126.6882
6882,2017122130,1084.0463
6883,2017122135,1058.9343
6884,2017122140,1086.3117
6885,2017122145,1088.8747
6886,2017122150,1083.7773
6887,2017122155,1121.3386
6888,2017122200,1137.7761
6889,2017122205,1073.4713
6890,2017122210,1107.9526
6891,2017122215,1102.0552
6892,2017122220,1025.526
6893,2017122225,954.0582
6894,2017122230,840.8062
6895,2017122235,855.9863
6896,2017122240,848.5393
6897,2017122245,811.1272
6898,2017122250,753.5461
6899,2017122255,742.2058
6900,2017122300,775.7021
6901,2017122305,787.4014
6902,2017122310,799.3838
6903,2017122315,778.3832
6904,2017122320,746.1832
